bandwidth,responsetime,visitors
3,996,2
3,1083,2
3,1310,2
3,1310,2
3,1295,2
3,1296,2
3,1293,2
3,1291,2
3,1288,2
3,1290,2
3,1276,2
3,1275,2
3,1283,2
3,1265,2
3,1276,2
3,1263,2
3,1271,2
3,1273,2
3,1258,2
3,1251,2
3,1252,2
3,1248,2
3,1254,2
3,1252,2
3,1237,2
3,1237,2
3,1239,2
3,1236,2
3,1217,2
3,1221,2
3,1221,2
3,1220,2
3,1212,2
3,1198,2
3,1206,2
3,1451,2
3,1403,2
3,1407,2
3,1367,2
3,1346,2
3,1369,2
3,1370,2
3,1386,2
3,1404,2
3,1385,2
3,1351,2
3,1349,2
3,1345,2
3,1350,2
3,1332,2
3,1332,2
3,1320,2
3,1320,2
3,1313,2
3,1304,2
3,1326,2
3,1305,2
3,1287,2
3,1289,2
3,1292,2
3,1306,2
3,1287,2
3,1286,2
3,1283,2
3,1283,2
3,1281,2
3,1276,2
3,1274,2
3,1254,2
3,1257,2
3,1246,2
3,1235,2
3,1235,2
3,1255,2
3,1242,2
3,1230,2
3,1229,2
3,1230,2
3,1220,2
3,1207,2
3,1205,2
3,1200,2
3,1249,2
3,1222,2
3,1222,2
3,1218,2
3,1218,2
3,1251,2
3,1208,2
3,1258,2
3,1253,2
3,1226,2
3,1219,2
3,1248,2
3,1255,2
3,1221,2
3,1257,2
3,1224,2
3,1271,2
3,1222,2
3,1260,2
3,1274,2
3,1237,2
3,1296,2
3,1262,2
3,1307,2
3,1249,2
3,1251,2
3,1310,2
3,1309,2
3,1259,2
3,1269,2
3,1304,2
3,1304,2
3,1272,2
3,1297,2
3,1296,2
3,1322,2
3,1287,2
3,1287,2
3,1293,2
3,1292,2
3,1305,2
3,1305,2
3,1363,2
3,1355,2
3,1356,2
3,1343,2
3,1345,2
3,1343,2
3,1341,2
3,1331,2
3,1332,2
3,1328,2
3,1328,2
3,1330,2
3,1345,2
3,1347,2
3,1334,2
3,1332,2
3,1344,2
3,1320,2
3,1312,2
3,1310,2
3,1310,2
3,1306,2
3,1331,2
3,1339,2
3,1339,2
3,1328,2
3,1327,2
3,1352,2
3,1351,2
3,1349,2
3,1350,2
3,1341,2
3,1349,2
3,1345,2
3,1365,2
3,1346,2
3,1366,2
3,1346,2
3,1372,2
3,1374,2
3,1355,2
3,1356,2
3,1369,2
3,1396,2
3,1391,2
3,1390,2
3,1379,2
3,1391,2
3,1386,2
3,1399,2
3,1401,2
3,1398,2
3,1416,2
3,1420,2
3,1418,2
3,1405,2
3,1418,2
3,1408,2
3,1422,2
3,1404,2
3,1451,2
3,1452,2
3,1409,2
3,1409,2
3,1455,2
3,1395,2
3,1433,2
3,1403,2
3,1438,2
3,1404,2
3,1438,2
3,1441,2
3,1419,2
3,1458,2
3,1459,2
3,1438,2
3,1461,2
3,1461,2
3,1526,2
3,1533,2
3,1531,2
3,1514,2
3,1516,2
3,1518,2
3,1527,2
3,1515,2
3,1519,2
3,1510,2
3,1506,2
3,1516,2
3,1504,2
3,1510,2
3,1495,2
3,1507,2
3,1505,2
3,1567,2
3,1567,2
3,1566,2
3,1566,2
3,1564,2
3,1564,2
3,1551,2
3,1557,2
3,1551,2
3,1560,2
3,1603,2
3,1604,2
3,1604,2
3,1601,2
3,1607,2
3,1601,2
3,1611,2
3,1613,2
3,1587,2
3,1586,2
3,1586,2
3,1601,2
3,1601,2
3,1601,2
3,1601,2
3,1601,2
3,1595,2
3,1595,2
3,1594,2
3,1595,2
3,1594,2
3,1604,2
3,1605,2
3,1604,2
3,1605,2
3,1605,2
3,1605,2
3,1614,2
3,1614,2
3,1610,2
3,1603,2
3,1602,2
3,1611,2
3,1604,2
3,1602,2
3,1613,2
3,1605,2
3,1630,2
3,1624,2
3,1625,2
3,1624,2
3,1639,2
3,1643,2
3,1644,2
3,1621,2
3,1621,2
3,1621,2
3,1645,2
3,1634,2
3,1624,2
3,1616,2
3,1615,2
3,1607,2
3,1625,2
3,1623,2
3,1615,2
3,1605,2
3,1607,2
3,1672,2
3,1669,2
3,1664,2
3,1661,2
3,1661,2
3,1660,2
3,1649,2
3,1650,2
3,1651,2
3,1648,2
3,1781,2
3,1784,2
3,1803,2
3,1803,2
3,1782,2
3,1781,2
3,1687,2
3,1685,2
3,1688,2
3,1687,2
3,1677,2
3,1675,2
3,1843,2
3,1853,2
3,1872,2
3,1871,2
3,1751,2
3,1740,2
3,1780,2
3,1785,2
3,1809,2
3,1806,2
3,1996,2
3,1996,2
3,1991,2
3,1971,2
3,1990,2
3,1976,2
3,1959,2
3,1960,2
3,1974,2
3,1832,2
3,1833,2
3,1992,2
3,1993,2
3,1986,2
3,1859,2
3,2019,2
3,2019,2
3,2013,2
3,2013,2
3,2008,2
3,2007,2
3,1881,2
3,1884,2
3,2023,2
3,2030,2
3,2036,2
3,2030,2
3,2024,2
3,2024,2
3,2022,2
3,2023,2
3,2010,2
3,2011,2
3,2010,2
3,1997,2
3,1996,2
3,1969,2
3,1968,2
3,1967,2
3,1968,2
3,1969,2
3,1997,2
3,1988,2
3,2007,2
3,2047,2
3,2050,2
3,2038,2
3,2038,2
3,2037,2
3,2033,2
3,2032,2
3,2032,2
3,2029,2
3,2032,2
3,2028,2
3,2200,2
3,2195,2
3,2189,2
3,2212,2
3,2212,2
3,2121,2
3,2121,2
3,2116,2
3,2113,2
3,2113,2
3,2103,2
3,2113,2
3,2107,2
3,2113,2
3,2113,2
3,2257,2
3,2258,2
3,2256,2
3,2249,2
3,2252,2
3,2242,2
3,2244,2
3,2227,2
3,2214,2
3,2213,2
3,2164,2
3,2178,2
3,2181,2
3,2189,2
3,2200,2
3,2215,2
3,2215,2
3,2230,2
3,2220,2
3,2373,2
3,2372,2
3,2378,2
3,2365,2
3,2296,2
3,2297,2
3,2297,2
3,2292,2
3,2334,2
3,2414,2
3,2414,2
3,2415,2
3,2412,2
3,2409,2
3,2408,2
3,2404,2
3,2401,2
3,2394,2
3,2404,2
3,2401,2
3,2368,2
3,2370,2
3,2361,2
3,2393,2
3,2413,2
3,2449,2
3,2563,2
3,2556,2
3,2560,2
3,2575,2
3,2589,2
3,2525,2
3,2646,2
3,2651,2
3,2642,2
3,2647,2
3,2635,2
3,2636,2
3,2630,2
3,2625,2
3,2613,2
3,2626,2
3,2587,2
3,2582,2
3,2580,2
3,2580,2
3,2574,2
3,2566,2
3,2574,2
3,2574,2
3,2552,2
3,2578,2
3,2578,2
3,2564,2
3,2659,2
3,2632,2
3,2634,2
3,2655,2
3,2656,2
3,2640,2
3,2634,2
3,2629,2
3,2627,2
3,2620,2
3,2616,2
3,2615,2
3,2614,2
3,2633,2
3,2675,2
3,2661,2
3,2659,2
3,2677,2
3,2671,2
3,2743,2
3,2743,2
3,2741,2
3,2742,2
3,2742,2
3,2742,2
3,2742,2
3,2781,2
3,2782,2
3,2782,2
3,2768,2
3,2781,2
3,2791,2
3,2807,2
3,2849,2
3,2850,2
3,2849,2
3,2843,2
3,2842,2
3,2842,2
3,2876,2
3,2873,2
3,2877,2
3,2873,2
3,2870,2
3,2861,2
3,2871,2
3,2856,2
3,2871,2
3,2856,2
3,2922,2
3,2916,2
3,2923,2
3,2906,2
3,2907,2
3,2903,2
3,2902,2
3,2902,2
3,2901,2
3,2930,2
3,2931,2
3,2927,2
3,2928,2
3,2930,2
3,2930,2
3,2929,2
3,2927,2
3,2927,2
3,2926,2
3,2927,2
3,2931,2
3,2931,2
3,2927,2
3,2895,2
3,2895,2
3,2880,2
3,2919,2
3,2916,2
3,2932,2
3,2954,2
3,2951,2
3,2954,2
